leaf-length	leaf-width	petal-length	petal-width	class
5,10	3,50	1,40	0,20	Iris-setosa
4,90	3,00	1,40	0,20	Iris-setosa
5,10	3,70	1,50	0,40	Iris-setosa
4,80	3,00	1,40	0,30	Iris-setosa
5,10	3,80	1,60	0,20	Iris-setosa
4,60	3,20	1,40	0,20	Iris-setosa
5,30	3,70	1,50	0,20	Iris-setosa
5,00	3,30	1,40	0,20	Iris-setosa
7,00	3,20	4,70	1,40	Iris-versicolor
6,40	3,20	4,50	1,50	Iris-versicolor
5,60	2,70	4,20	1,30	Iris-versicolor
5,70	3,00	4,20	1,20	Iris-versicolor
5,10	2,50	3,00	1,10	Iris-versicolor
5,70	2,80	4,10	1,30	Iris-versicolor
6,30	3,30	6,00	2,50	Iris-virginica
5,80	2,70	5,10	1,90	Iris-virginica
7,10	3,00	5,90	2,10	Iris-virginica
6,30	2,90	5,60	1,80	Iris-virginica
7,70	2,60	6,90	2,30	Iris-virginica
6,00	2,20	5,00	1,50	Iris-virginica
5,90	3,00	5,10	1,80	Iris-virginica
